service_id,date,exception_type
"12","20211214","2"
"12","20211221","2"
"12","20211228","2"
"12","20220104","2"
"12","20220111","2"
"12","20220118","2"
"12","20220125","2"
"12","20220201","2"
"12","20220208","2"
"12","20220215","2"
"12","20220222","2"
"12","20220301","2"
"12","20220308","2"
"12","20220315","2"
"12","20220322","2"
"12","20220329","2"
"12","20220405","2"
"12","20220412","2"
"12","20220419","2"
"12","20220426","2"
"12","20220503","2"
"12","20220510","2"
"12","20220517","2"
"12","20220524","2"
"12","20220531","2"
"12","20220607","2"
"12","20220614","2"
"12","20220621","2"
"12","20220628","2"
"12","20220705","2"
"12","20220712","2"
"12","20220719","2"
"12","20220726","2"
"12","20220802","2"
"12","20220809","2"
"12","20220816","2"
"12","20220823","2"
"12","20220830","2"
"12","20220906","2"
"12","20220913","2"
"12","20220920","2"
"12","20220927","2"
"12","20221004","2"
"12","20221018","2"
"12","20221025","2"
"12","20221101","2"
"12","20221108","2"
"12","20221115","2"
"12","20221122","2"
"12","20221129","2"
"12","20221206","2"
"S1","20211216","2"
"S1","20211223","2"
"S1","20211230","2"
"S1","20220106","2"
"S1","20220113","2"
"S1","20220120","2"
"S1","20220127","2"
"S1","20220203","2"
"S1","20220210","2"
"S1","20220217","2"
"S1","20220224","2"
"S1","20220303","2"
"S1","20220310","2"
"S1","20220317","2"
"S1","20220324","2"
"S1","20220331","2"
"S1","20220407","2"
"S1","20220414","2"
"S1","20220421","2"
"S1","20220428","2"
"S1","20220505","2"
"S1","20220512","2"
"S1","20220519","2"
"S1","20220526","2"
"S1","20220602","2"
"S1","20220609","2"
"S1","20220616","2"
"S1","20220623","2"
"S1","20220630","2"
"S1","20220707","2"
"S1","20220714","2"
"S1","20220728","2"
"S1","20220804","2"
"S1","20220811","2"
"S1","20220818","2"
"S1","20220825","2"
"S1","20220901","2"
"S1","20220908","2"
"S1","20220915","2"
"S1","20220922","2"
"S1","20220929","2"
"S1","20221006","2"
"S1","20221013","2"
"S1","20221020","2"
"S1","20221027","2"
"S1","20221103","2"
"S1","20221110","2"
"S1","20221117","2"
"S1","20221124","2"
"S1","20221201","2"
"S1","20221208","2"
"S2","20211217","2"
"S2","20211224","2"
"S2","20211231","2"
"S2","20220107","2"
"S2","20220114","2"
"S2","20220121","2"
"S2","20220128","2"
"S2","20220204","2"
"S2","20220211","2"
"S2","20220218","2"
"S2","20220225","2"
"S2","20220304","2"
"S2","20220311","2"
"S2","20220318","2"
"S2","20220325","2"
"S2","20220401","2"
"S2","20220408","2"
"S2","20220415","2"
"S2","20220422","2"
"S2","20220429","2"
"S2","20220506","2"
"S2","20220513","2"
"S2","20220520","2"
"S2","20220527","2"
"S2","20220603","2"
"S2","20220610","2"
"S2","20220617","2"
