route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
"1-1-E-z21-1","S1","1.S1.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","S2","1.S2.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","S3","1.S3.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UI","1.UI.1-1-E-z21-1.8.R","1-1-E-z21-1.8.R","Linz/Donau Hauptbahnhof","1",""
"1-1-E-z21-1","UJ","1.UJ.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UK","1.UK.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UL","1.UL.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UM","1.UM.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UN","1.UN.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UO","1.UO.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UP","1.UP.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UQ","1.UQ.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UR","1.UR.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","US","1.US.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UU","1.UU.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UX","1.UX.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UY","1.UY.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","S1","10.S1.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","S2","10.S2.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","S3","10.S3.1-1-E-z21-1.14.R","1-1-E-z21-1.14.R","Linz/Donau Simonystraße","1",""
"1-1-E-z21-1","UI","10.UI.1-1-E-z21-1.10.R","1-1-E-z21-1.10.R","Linz/Donau Hauptbahnhof","1",""
"1-1-E-z21-1","UJ","10.UJ.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UK","10.UK.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UL","10.UL.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UM","10.UM.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UN","10.UN.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UO","10.UO.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UP","10.UP.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UQ","10.UQ.1-1-E-z21-1.23.R","1-1-E-z21-1.23.R","Linz/Donau Ferihumerstraße","1",""
"1-1-E-z21-1","UR","10.UR.1-1-E-z21-1.14.R","1-1-E-z21-1.14.R","Linz/Donau Simonystraße","1",""
"1-1-E-z21-1","US","10.US.1-1-E-z21-1.22.R","1-1-E-z21-1.22.R","Linz/Donau Remise Kleinmünchen","1",""
"1-1-E-z21-1","UU","10.UU.1-1-E-z21-1.14.R","1-1-E-z21-1.14.R","Linz/Donau Simonystraße","1",""
"1-1-E-z21-1","UX","10.UX.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UY","10.UY.1-1-E-z21-1.15.R","1-1-E-z21-1.15.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","S1","100.S1.1-1-E-z21-1.10.R","1-1-E-z21-1.10.R","Linz/Donau Hauptbahnhof","1",""
"1-1-E-z21-1","S2","100.S2.1-1-E-z21-1.9.R","1-1-E-z21-1.9.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","S3","100.S3.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UI","100.UI.1-1-E-z21-1.1.H","1-1-E-z21-1.1.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","UJ","100.UJ.1-1-E-z21-1.4.H","1-1-E-z21-1.4.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","UK","100.UK.1-1-E-z21-1.14.R","1-1-E-z21-1.14.R","Linz/Donau Simonystraße","1",""
"1-1-E-z21-1","UL","100.UL.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UM","100.UM.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UN","100.UN.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UO","100.UO.1-1-E-z21-1.4.H","1-1-E-z21-1.4.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","UP","100.UP.1-1-E-z21-1.4.H","1-1-E-z21-1.4.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","UQ","100.UQ.1-1-E-z21-1.31.H","1-1-E-z21-1.31.H","Linz/Donau Wildbergstraße","0",""
"1-1-E-z21-1","UR","100.UR.1-1-E-z21-1.4.H","1-1-E-z21-1.4.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","US","100.US.1-1-E-z21-1.4.H","1-1-E-z21-1.4.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","UU","100.UU.1-1-E-z21-1.4.H","1-1-E-z21-1.4.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","UX","100.UX.1-1-E-z21-1.3.H","1-1-E-z21-1.3.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","UY","100.UY.1-1-E-z21-1.4.H","1-1-E-z21-1.4.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","S1","101.S1.1-1-E-z21-1.9.R","1-1-E-z21-1.9.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","S2","101.S2.1-1-E-z21-1.10.R","1-1-E-z21-1.10.R","Linz/Donau Hauptbahnhof","1",""
"1-1-E-z21-1","S3","101.S3.1-1-E-z21-1.14.R","1-1-E-z21-1.14.R","Linz/Donau Simonystraße","1",""
"1-1-E-z21-1","UI","101.UI.1-1-E-z21-1.1.H","1-1-E-z21-1.1.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","UJ","101.UJ.1-1-E-z21-1.4.H","1-1-E-z21-1.4.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","UK","101.UK.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UL","101.UL.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UM","101.UM.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UN","101.UN.1-1-E-z21-1.13.R","1-1-E-z21-1.13.R","Linz/Donau JKU I Universität","1",""
"1-1-E-z21-1","UO","101.UO.1-1-E-z21-1.4.H","1-1-E-z21-1.4.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","UP","101.UP.1-1-E-z21-1.4.H","1-1-E-z21-1.4.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","UQ","101.UQ.1-1-E-z21-1.1.H","1-1-E-z21-1.1.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","UR","101.UR.1-1-E-z21-1.4.H","1-1-E-z21-1.4.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","US","101.US.1-1-E-z21-1.4.H","1-1-E-z21-1.4.H","Linz/Donau Auwiesen","0",""
"1-1-E-z21-1","UU","101.UU.1-1-E-z21-1.4.H","1-1-E-z21-1.4.H","Linz/Donau Auwiesen","0",""
